OSM_ID,OSM_Type,SP,Nazwa,Adres,Latitude,Longitude,OSM_Version
481953340,node,,Orlen,"ul. Doktora Tadeusza Tyszkiewicza, Kazimierz Dolny",51.325967,21.950898,
485599433,way,,Orlen,"współrzędne: 54.46523, 17.04074",54.465232,17.040744,
490974818,way,,Orlen,"współrzędne: 50.84149, 16.43377",50.841487,16.433767,
491658358,way,,Orlen,"współrzędne: 53.26144, 19.85449",53.261439,19.854488,
496315984,node,,Orlen,"ul. Eskadrowa 1, 71-675 Szczecin",53.395542,14.615961,
498373933,way,,Orlen,"współrzędne: 51.29485, 23.11151",51.294853,23.111512,
500081352,way,,Orlen,"współrzędne: 51.74678, 19.33881",51.746776,19.338808,
505248548,way,,Orlen,"współrzędne: 51.75797, 19.22230",51.757974,19.222302,
508293276,way,,Orlen,"współrzędne: 52.97339, 18.87746",52.973391,18.877462,
520372186,way,,Orlen,"współrzędne: 53.46385, 18.74164",53.463851,18.741639,
520772719,way,,Orlen,"ul. Jana Pawła II 77, 33-340 Stary Sącz",49.568020,20.656640,
521332946,way,,Orlen,"współrzędne: 51.89884, 22.35856",51.898836,22.358556,
524284890,way,,Stacja paliw ORLEN,"współrzędne: 54.55973, 18.42319",54.559733,18.423188,
531196225,way,,Orlen,"ul. Generała Leopolda Okulickiego 20, 05-500 Piaseczno",52.082509,21.032177,
534622479,way,,Orlen,"współrzędne: 50.20835, 18.30697",50.208355,18.306967,
540015782,way,,Orlen,"współrzędne: 50.25581, 19.18746",50.255808,19.187465,
545001046,way,,Orlen,"współrzędne: 53.88999, 19.73471",53.889985,19.734708,
545657870,way,,Orlen,"ul. Fabryczna 84, 05-270 Marki",52.315843,21.118005,
546862766,node,,Orlen,"ul. Nawojowska 99, Nowy Sącz",49.602746,20.715584,
552884206,way,,Orlen,"ul. Aleja Jana Pawła II 107, 21-010 Łęczna",51.299783,22.888018,
553459868,way,,Orlen,"współrzędne: 53.78617, 20.45087",53.786170,20.450871,
556344431,way,,Orlen,"współrzędne: 53.88271, 19.73279",53.882710,19.732785,
557134496,way,,Orlen,"współrzędne: 51.75825, 19.55463",51.758250,19.554627,
563928451,way,,Orlen,"współrzędne: 52.12852, 21.24049",52.128519,21.240488,
566159915,way,,Orlen,"współrzędne: 53.74244, 16.35110",53.742441,16.351097,
576091490,way,,Orlen Aviation,"współrzędne: 52.41371, 16.83920",52.413709,16.839199,
585593594,way,,Orlen,"współrzędne: 53.19330, 18.07546",53.193301,18.075458,
586104279,way,,Orlen,"ul. Szczecińska 46, 77-300 Człuchów",53.658696,17.345548,
589805284,node,,Orlen,"ul. Kujawska 71, Bydgoszcz",53.112085,18.008149,
589846879,node,,Orlen,"ul. Gdańska 252, Bydgoszcz",53.171549,18.051920,
591904614,way,,Orlen,"współrzędne: 50.00699, 18.86780",50.006995,18.867799,
596095165,way,,Orlen,"współrzędne: 51.34446, 19.11671",51.344461,19.116706,
600137843,way,,Orlen,"ul. Warszawska 19, 05-300 Choszczówka Stojecka",52.193317,21.519955,
603758330,node,,Orlen,"ul. Promenada 8, 73-210 Recz",53.262578,15.545404,
608681031,way,,Orlen,"współrzędne: 50.56036, 22.06860",50.560356,22.068604,
